chr	start	end	width	strand	Conc	Conc_T2E	Conc_NonT2E	Fold	p.value	FDR	peak_ID
chr13	44878917	44879418	501	*	5.35	5.29	5.42	-0.13	0.722	0.839	93988
chr1	112388609	112389110	501	*	4.42	4.5	4.31	0.19	0.722	0.839	93991
chr19	41439518	41440019	501	*	7.18	7.21	7.14	0.07	0.722	0.839	93995
chr17	37802680	37803181	501	*	5.21	5.25	5.16	0.09	0.722	0.839	93997
chr5	1380241	1380742	501	*	5.57	5.63	5.5	0.14	0.722	0.839	93999
chr6	6682149	6682650	501	*	4.49	4.43	4.55	-0.12	0.722	0.839	94006
chr12	59113959	59114460	501	*	4.57	4.52	4.64	-0.12	0.722	0.839	94012
chr10	6192185	6192686	501	*	5.19	5.15	5.24	-0.09	0.722	0.839	94014
chr13	23378402	23378903	501	*	4.74	4.79	4.68	0.11	0.722	0.839	94015
chr13	49606804	49607305	501	*	5.98	6.01	5.93	0.08	0.722	0.839	94021
chr7	6160182	6160683	501	*	4.81	4.86	4.74	0.13	0.722	0.839	94023
chr13	114226031	114226532	501	*	4.51	4.44	4.58	-0.14	0.722	0.839	94031
chr4	119040570	119041071	501	*	5.18	5.23	5.12	0.11	0.722	0.839	94032
chr13	107866698	107867199	501	*	5.75	5.64	5.87	-0.23	0.722	0.839	94042
chr6	52015987	52016488	501	*	4.73	4.78	4.67	0.11	0.723	0.84	94074
chr2	36492540	36493041	501	*	4.05	3.96	4.15	-0.19	0.723	0.84	94078
chr10	62031651	62032152	501	*	4.95	5.01	4.88	0.12	0.723	0.84	94080
chr20	62605610	62606111	501	*	5.51	5.56	5.45	0.12	0.723	0.84	94084
chr4	185109064	185109565	501	*	4.18	4.11	4.27	-0.16	0.723	0.84	94086
chr6	129498808	129499309	501	*	5.22	5.27	5.16	0.1	0.723	0.84	94089
chr1	39358469	39358970	501	*	5.18	5.13	5.25	-0.12	0.723	0.84	94091
chr19	2956764	2957265	501	*	4.26	4.33	4.18	0.15	0.723	0.84	94093
chr6	32979732	32980233	501	*	4.58	4.63	4.51	0.12	0.723	0.84	94096
chr12	121175749	121176250	501	*	4.61	4.55	4.68	-0.13	0.723	0.84	94098
chr15	90645682	90646183	501	*	4.6	4.66	4.52	0.14	0.723	0.84	94100
chr11	93539706	93540207	501	*	4.96	4.91	5.03	-0.12	0.724	0.84	94105
chr15	62570504	62571005	501	*	5.01	4.95	5.09	-0.14	0.724	0.84	94110
chr14	61451460	61451961	501	*	4.16	4.22	4.08	0.15	0.724	0.84	94111
chr4	38064135	38064636	501	*	4.81	4.75	4.88	-0.13	0.724	0.84	94118
chr15	70494592	70495093	501	*	4.74	4.69	4.8	-0.11	0.724	0.84	94121
chr3	72304074	72304575	501	*	5.31	5.25	5.37	-0.11	0.724	0.84	94133
chr10	103243737	103244238	501	*	4.74	4.68	4.81	-0.13	0.724	0.84	94135
chr2	192195623	192196124	501	*	6.67	6.72	6.62	0.1	0.724	0.84	94143
chr2	73899833	73900334	501	*	4.67	4.6	4.75	-0.15	0.724	0.84	94145
chr15	69059177	69059678	501	*	4.95	5.01	4.88	0.13	0.724	0.84	94148
chr15	94119271	94119772	501	*	5.79	5.75	5.85	-0.09	0.724	0.841	94151
chr15	60362201	60362702	501	*	4.87	4.93	4.8	0.13	0.724	0.841	94154
chr1	25601822	25602323	501	*	4.47	4.4	4.54	-0.14	0.725	0.841	94165
chr6	34023842	34024343	501	*	4.29	4.19	4.4	-0.2	0.725	0.841	94179
chr15	70361123	70361624	501	*	4.3	4.22	4.4	-0.18	0.725	0.841	94180
chr10	131875202	131875703	501	*	4.9	4.96	4.81	0.15	0.725	0.841	94181
chr12	52980114	52980615	501	*	4.01	3.91	4.13	-0.22	0.725	0.841	94199
chr9	92332405	92332906	501	*	4.08	4.16	3.99	0.17	0.725	0.841	94200
chr3	182606258	182606759	501	*	4.55	4.61	4.48	0.13	0.725	0.841	94206
chr19	5023180	5023681	501	*	7.01	7.04	6.97	0.07	0.726	0.841	94209
chr3	149279036	149279537	501	*	6.39	6.34	6.44	-0.09	0.726	0.841	94214
chr16	72964750	72965251	501	*	4.8	4.86	4.72	0.15	0.726	0.841	94215
chr17	82552262	82552763	501	*	4.76	4.7	4.82	-0.12	0.726	0.841	94218
chr12	45733909	45734410	501	*	4.58	4.53	4.64	-0.11	0.726	0.841	94220
chr3	129245482	129245983	501	*	6.05	6.08	6	0.08	0.726	0.842	94225
chr3	156535601	156536102	501	*	5.34	5.29	5.39	-0.1	0.726	0.842	94241
chr9	123349605	123350106	501	*	5.73	5.78	5.67	0.11	0.726	0.842	94242
chr11	58525252	58525753	501	*	4.21	4.27	4.13	0.14	0.726	0.842	94246
chr8	140478198	140478699	501	*	4.52	4.57	4.45	0.12	0.726	0.842	94248
chr2	129934016	129934517	501	*	6.21	6.25	6.15	0.1	0.726	0.842	94251
chr21	38824239	38824740	501	*	4.87	4.92	4.79	0.13	0.726	0.842	94254
chr8	100177692	100178193	501	*	4.02	4.11	3.91	0.2	0.726	0.842	94258
chr17	42322939	42323440	501	*	4.95	4.99	4.9	0.09	0.727	0.842	94265
chr15	59158934	59159435	501	*	6.77	6.81	6.71	0.1	0.727	0.842	94268
chr7	16979013	16979514	501	*	4.92	4.99	4.83	0.16	0.727	0.842	94278
chr5	134280008	134280509	501	*	5.12	5.08	5.16	-0.08	0.727	0.842	94280
chr8	100536322	100536823	501	*	5.19	5.25	5.11	0.13	0.727	0.842	94283
chr11	116193246	116193747	501	*	7.42	7.38	7.46	-0.08	0.727	0.842	94286
chr19	50368678	50369179	501	*	6.58	6.61	6.54	0.07	0.727	0.842	94289
chr12	92243293	92243794	501	*	4.64	4.69	4.57	0.11	0.727	0.842	94290
chr6	137872588	137873089	501	*	4.33	4.25	4.41	-0.16	0.727	0.843	94297
chr3	53302456	53302957	501	*	4.57	4.51	4.65	-0.13	0.727	0.843	94298
chr1	38818298	38818799	501	*	6.41	6.45	6.35	0.09	0.727	0.843	94300
chr3	161416230	161416731	501	*	6.82	6.86	6.78	0.08	0.727	0.843	94302
chr5	2509605	2510106	501	*	4.55	4.5	4.62	-0.12	0.727	0.843	94304
chr1	36187846	36188347	501	*	6.92	6.95	6.89	0.06	0.727	0.843	94305
chr16	24987046	24987547	501	*	5.25	5.2	5.3	-0.09	0.728	0.843	94314
chr15	85486753	85487254	501	*	4.97	5.01	4.9	0.11	0.728	0.843	94316
chr12	104201370	104201871	501	*	4.66	4.6	4.73	-0.13	0.728	0.843	94319
chr13	40479276	40479777	501	*	5.65	5.61	5.7	-0.09	0.728	0.843	94321
chr7	30162485	30162986	501	*	4.72	4.78	4.63	0.15	0.728	0.843	94323
chr3	195111108	195111609	501	*	6.82	6.86	6.78	0.08	0.728	0.843	94329
chr10	5779661	5780162	501	*	4.4	4.35	4.47	-0.12	0.728	0.843	94330
chr2	241876598	241877099	501	*	4.77	4.83	4.69	0.13	0.728	0.843	94345
chr17	72521115	72521616	501	*	5.09	5.04	5.16	-0.12	0.728	0.843	94353
chr16	54644971	54645472	501	*	5.2	5.15	5.26	-0.11	0.729	0.844	94363
chr17	72528353	72528854	501	*	4.6	4.65	4.54	0.11	0.729	0.844	94364
chr9	89862775	89863276	501	*	5.83	5.87	5.78	0.09	0.729	0.844	94371
chr11	118195242	118195743	501	*	5.29	5.33	5.24	0.09	0.729	0.844	94372
chr8	48303580	48304081	501	*	4.2	4.13	4.29	-0.16	0.729	0.844	94377
chr16	1774841	1775342	501	*	4.6	4.66	4.54	0.12	0.729	0.844	94378
chr1	59687742	59688243	501	*	4.63	4.68	4.57	0.1	0.729	0.844	94383
chr14	104143519	104144020	501	*	4.72	4.78	4.63	0.14	0.729	0.844	94385
chr12	953036	953537	501	*	6.07	6.03	6.12	-0.09	0.729	0.844	94393
chr2	72862240	72862741	501	*	4.77	4.72	4.83	-0.11	0.729	0.844	94401
chr16	85821137	85821638	501	*	4.68	4.75	4.58	0.17	0.729	0.844	94404
chr6	144288775	144289276	501	*	5.05	5.1	4.99	0.1	0.729	0.844	94412
chr21	38754010	38754511	501	*	4.4	4.47	4.3	0.17	0.73	0.844	94419
chr13	51770230	51770731	501	*	5.59	5.64	5.53	0.11	0.73	0.844	94420
chr1	25506422	25506923	501	*	4.23	4.17	4.3	-0.14	0.73	0.844	94422
chr9	98779017	98779518	501	*	5.4	5.35	5.47	-0.12	0.73	0.844	94431
chr2	234552991	234553492	501	*	4.21	4.14	4.3	-0.17	0.73	0.844	94432
chr14	50773630	50774131	501	*	4.9	4.93	4.85	0.08	0.73	0.845	94441
chr21	36910930	36911431	501	*	5.03	4.97	5.1	-0.13	0.73	0.845	94443
chr17	72522567	72523384	817	*	5.17	5.11	5.23	-0.12	0.73	0.845	94452
chr20	58084585	58085086	501	*	6	6.05	5.94	0.11	0.731	0.845	94461
chr9	113644752	113645253	501	*	4.18	4.25	4.09	0.16	0.731	0.845	94463
chr17	65551236	65551737	501	*	4.84	4.88	4.77	0.11	0.731	0.845	94464
chr8	80977030	80977531	501	*	5.22	5.17	5.27	-0.11	0.731	0.845	94465
chr10	71208816	71209317	501	*	4.99	5.03	4.93	0.1	0.731	0.845	94468
chr5	80167007	80167508	501	*	4.87	4.82	4.93	-0.11	0.731	0.845	94471
chr8	42317478	42317979	501	*	5.9	5.94	5.85	0.09	0.731	0.845	94475
chr3	39385398	39385899	501	*	4.54	4.59	4.47	0.13	0.731	0.845	94486
chr1	19366434	19366935	501	*	4.88	4.83	4.93	-0.1	0.731	0.845	94492
chr1	59971199	59971700	501	*	5.37	5.33	5.42	-0.09	0.731	0.845	94493
chr3	37961243	37961744	501	*	5.91	5.87	5.95	-0.09	0.731	0.846	94500
chr16	84175379	84175880	501	*	4.91	4.97	4.84	0.13	0.731	0.846	94502
chr8	26078060	26078561	501	*	4.46	4.52	4.38	0.13	0.731	0.846	94504
chr7	71272474	71272975	501	*	5.56	5.52	5.62	-0.11	0.731	0.846	94505
chr18	57808618	57809119	501	*	4.42	4.47	4.34	0.13	0.732	0.846	94514
chr1	54000752	54001253	501	*	4.28	4.21	4.37	-0.16	0.732	0.846	94515
chr2	43461841	43462342	501	*	5.64	5.68	5.59	0.09	0.732	0.846	94530
chr9	108761236	108761737	501	*	5.26	5.22	5.31	-0.09	0.732	0.846	94537
chr6	15386237	15386738	501	*	4.72	4.76	4.66	0.11	0.732	0.846	94554
chr9	131349847	131350348	501	*	6.47	6.44	6.51	-0.07	0.733	0.846	94564
chr20	53080982	53081483	501	*	4.89	4.83	4.97	-0.13	0.733	0.846	94565
chr3	99842875	99843376	501	*	5.49	5.45	5.54	-0.08	0.733	0.846	94568
chr9	126781497	126781998	501	*	4.95	4.9	5.01	-0.11	0.733	0.846	94570
chr7	47971154	47971655	501	*	4.86	4.92	4.79	0.13	0.733	0.847	94579
chr17	56809534	56810035	501	*	4.7	4.75	4.64	0.1	0.733	0.847	94594
chr15	45449947	45450448	501	*	6.22	6.18	6.27	-0.09	0.733	0.847	94595
chr3	104615304	104615805	501	*	4.88	4.92	4.84	0.08	0.733	0.847	94602
chr2	235098494	235098995	501	*	4.57	4.52	4.64	-0.13	0.733	0.847	94604
chr2	216545470	216545971	501	*	4.5	4.56	4.43	0.13	0.734	0.847	94619
chr15	101008070	101008571	501	*	6.21	6.25	6.15	0.1	0.734	0.847	94629
chr10	95841413	95841914	501	*	4.82	4.88	4.74	0.13	0.734	0.847	94632
chr8	73312677	73313178	501	*	5.33	5.27	5.4	-0.13	0.734	0.847	94633
chr15	96160463	96160964	501	*	5.07	5.12	5.01	0.11	0.734	0.847	94648
chr11	9858494	9858995	501	*	5.85	5.81	5.91	-0.11	0.734	0.847	94650
chr12	116591970	116592471	501	*	6.07	6.11	6.02	0.09	0.734	0.847	94658
chr1	161209376	161209877	501	*	5.16	5.22	5.09	0.13	0.734	0.847	94663
chr11	130705553	130706502	949	*	5.52	5.47	5.57	-0.1	0.735	0.848	94674
chr15	71435578	71436079	501	*	4.96	5.02	4.88	0.14	0.735	0.848	94681
chr1	37995749	37996250	501	*	6.65	6.69	6.59	0.11	0.735	0.848	94690
chr3	25577801	25578302	501	*	4.69	4.63	4.76	-0.13	0.735	0.848	94693
chr15	70488143	70488644	501	*	4.4	4.33	4.49	-0.17	0.735	0.848	94700
chr17	73155982	73156483	501	*	4.6	4.64	4.54	0.1	0.735	0.848	94705
chr9	104909888	104910389	501	*	5.1	5.14	5.05	0.08	0.735	0.848	94710
chr6	149030815	149031316	501	*	4.34	4.41	4.26	0.15	0.735	0.848	94712
chr4	155774061	155774562	501	*	4.57	4.64	4.47	0.17	0.735	0.848	94713
chr5	80273152	80273653	501	*	4.49	4.43	4.56	-0.13	0.735	0.848	94714
chr12	6420164	6420665	501	*	4.25	4.2	4.31	-0.11	0.735	0.848	94715
chr8	123527954	123528455	501	*	4.85	4.8	4.91	-0.11	0.735	0.848	94716
chr5	142878503	142879004	501	*	4.78	4.82	4.72	0.1	0.736	0.848	94734
chr8	29998326	29998827	501	*	4.33	4.39	4.25	0.14	0.736	0.848	94736
chr6	33709488	33709989	501	*	4.41	4.47	4.32	0.15	0.736	0.848	94740
chr8	95314429	95314930	501	*	4.65	4.71	4.58	0.13	0.736	0.849	94741
chr2	149017102	149017603	501	*	4.48	4.43	4.54	-0.1	0.736	0.849	94746
chr5	55711807	55712308	501	*	7.22	7.25	7.18	0.06	0.736	0.849	94759
chr8	18911106	18911607	501	*	4.88	4.83	4.94	-0.11	0.736	0.849	94764
chr20	25018071	25018572	501	*	6.51	6.46	6.57	-0.11	0.736	0.849	94767
chr1	226100394	226100895	501	*	5.75	5.8	5.7	0.1	0.736	0.849	94769
chr6	31076783	31077284	501	*	5.49	5.53	5.43	0.1	0.736	0.849	94774
chr10	124389322	124389823	501	*	6.77	6.8	6.73	0.07	0.737	0.849	94785
chr20	53851860	53852361	501	*	6.36	6.31	6.41	-0.1	0.737	0.849	94798
chr15	66848915	66849416	501	*	4.49	4.56	4.4	0.15	0.737	0.849	94805
chr20	53679774	53680275	501	*	5.2	5.25	5.15	0.1	0.737	0.849	94816
chr11	61167311	61167812	501	*	4.29	4.22	4.38	-0.16	0.737	0.85	94826
chr7	80921179	80921680	501	*	5.53	5.57	5.47	0.09	0.737	0.85	94832
chr20	25397292	25397793	501	*	4.96	5	4.9	0.1	0.738	0.85	94839
chr3	13451873	13452374	501	*	6.96	6.93	7	-0.08	0.738	0.85	94843
chr1	54291831	54292332	501	*	5.31	5.35	5.25	0.1	0.738	0.85	94856
chr7	134722661	134723162	501	*	4.79	4.73	4.86	-0.13	0.738	0.85	94857
chr8	30141327	30141828	501	*	4.72	4.78	4.66	0.12	0.738	0.85	94860
chr5	66740002	66740503	501	*	5.31	5.35	5.27	0.08	0.738	0.85	94863
chr4	101337670	101338171	501	*	5.06	5.02	5.11	-0.09	0.738	0.85	94865
chr11	34175710	34176211	501	*	4.69	4.73	4.63	0.1	0.738	0.85	94869
chr15	81398452	81398953	501	*	4.92	4.96	4.87	0.09	0.738	0.85	94879
chr11	46648103	46648604	501	*	4.8	4.86	4.72	0.15	0.738	0.85	94883
chr7	95916856	95917357	501	*	5.41	5.45	5.36	0.09	0.738	0.85	94884
chr6	158067543	158068044	501	*	4.73	4.76	4.68	0.09	0.738	0.85	94885
chr17	65564619	65565120	501	*	4.83	4.9	4.75	0.15	0.738	0.85	94898
chr2	164843600	164844101	501	*	5.36	5.31	5.43	-0.12	0.739	0.85	94908
chr5	76546846	76547347	501	*	6.99	6.95	7.04	-0.09	0.739	0.85	94912
chr5	65482091	65482592	501	*	6.68	6.65	6.72	-0.07	0.739	0.85	94921
chr1	46547793	46548294	501	*	4.36	4.43	4.27	0.17	0.739	0.85	94922
chr3	150278986	150279487	501	*	5.28	5.24	5.33	-0.09	0.739	0.851	94937
chr16	78505293	78505794	501	*	5.1	5.05	5.15	-0.1	0.739	0.851	94938
chr21	38819618	38820119	501	*	4.75	4.82	4.66	0.16	0.739	0.851	94945
chr5	141525021	141525522	501	*	5.83	5.86	5.78	0.08	0.739	0.851	94952
chr22	42786995	42787496	501	*	4.95	5	4.88	0.12	0.74	0.851	94963
chr3	161421057	161421558	501	*	5.39	5.33	5.45	-0.12	0.74	0.851	94968
chr5	33990991	33991492	501	*	5.3	5.25	5.35	-0.1	0.74	0.851	94970
chr3	64030735	64031236	501	*	5.3	5.34	5.26	0.08	0.74	0.851	94971
chr9	104911396	104911897	501	*	4.5	4.44	4.56	-0.12	0.74	0.851	94972
chr1	21651511	21652012	501	*	5.97	6.03	5.9	0.13	0.74	0.851	94975
chr19	40651919	40652420	501	*	4.91	4.96	4.85	0.11	0.74	0.851	94986
chr17	57661661	57662162	501	*	4.72	4.77	4.65	0.11	0.74	0.851	94988
chrX	11348422	11348923	501	*	4.85	4.79	4.92	-0.12	0.74	0.851	94989
chr6	110483267	110483768	501	*	4.49	4.55	4.41	0.14	0.74	0.851	94994
chr19	1180315	1180816	501	*	7.14	7.17	7.11	0.06	0.74	0.851	94996
chr6	149083972	149084473	501	*	4.9	4.85	4.96	-0.11	0.74	0.851	95009
chr12	7990648	7991149	501	*	5.26	5.3	5.2	0.1	0.741	0.852	95021
chrX	13487969	13488470	501	*	5.54	5.49	5.6	-0.11	0.741	0.852	95025
chr8	47626908	47627409	501	*	4.15	4.22	4.06	0.16	0.741	0.852	95026
chr6	128508415	128508916	501	*	3.94	3.86	4.04	-0.18	0.741	0.852	95029
chrX	11100066	11100922	856	*	5.19	5.14	5.25	-0.11	0.741	0.852	95031
chr15	61835248	61835749	501	*	5.49	5.53	5.44	0.09	0.741	0.852	95037
chr12	31651002	31651503	501	*	5.38	5.43	5.31	0.12	0.741	0.852	95040
chr13	51906642	51907143	501	*	4.22	4.29	4.14	0.15	0.741	0.852	95042
chr3	194975408	194975909	501	*	5.6	5.64	5.55	0.09	0.741	0.852	95049
chr4	54226075	54226576	501	*	5.57	5.53	5.61	-0.07	0.741	0.852	95059
chr6	111646790	111647291	501	*	5.02	5.06	4.97	0.08	0.741	0.852	95062
chr17	21131184	21131685	501	*	4.83	4.79	4.89	-0.1	0.741	0.852	95063
chr16	72928693	72929194	501	*	5.45	5.5	5.39	0.11	0.742	0.852	95067
chr3	56702269	56702770	501	*	4.04	4.11	3.95	0.16	0.742	0.852	95072
chr15	58260407	58260908	501	*	4.73	4.66	4.8	-0.15	0.742	0.852	95074
chr13	44856437	44856938	501	*	4.97	4.92	5.04	-0.13	0.742	0.852	95075
chr1	27406779	27407280	501	*	4.47	4.4	4.54	-0.14	0.742	0.852	95079
chr7	77439652	77440153	501	*	4.74	4.79	4.67	0.12	0.742	0.852	95084
chr16	81718905	81719406	501	*	5.17	5.12	5.22	-0.09	0.742	0.853	95093
chr16	12097444	12097945	501	*	5.94	5.97	5.89	0.08	0.742	0.853	95096
chr5	38797029	38797530	501	*	4.68	4.63	4.74	-0.11	0.742	0.853	95099
chr15	77649422	77649923	501	*	4.94	4.89	5.01	-0.12	0.742	0.853	95105
chr4	158007480	158007981	501	*	4.42	4.46	4.36	0.1	0.743	0.853	95114
chr4	41212439	41212940	501	*	5.13	5.09	5.18	-0.09	0.743	0.853	95118
chr8	102197103	102197604	501	*	6.15	6.11	6.2	-0.09	0.743	0.853	95124
chr12	91386916	91387417	501	*	4.89	4.95	4.81	0.14	0.743	0.853	95130
chr16	72828123	72828624	501	*	5.16	5.12	5.21	-0.09	0.743	0.853	95132
chr11	36133028	36133529	501	*	4.38	4.43	4.31	0.12	0.743	0.853	95141
chr1	28409866	28410367	501	*	4.51	4.47	4.56	-0.09	0.743	0.853	95145
chr19	38083064	38083565	501	*	4.45	4.37	4.55	-0.19	0.743	0.853	95150
chr2	239232713	239233214	501	*	2.69	2.6	2.8	-0.21	0.743	0.853	95163
chr4	41644146	41644647	501	*	4.89	4.84	4.94	-0.1	0.743	0.853	95168
chr15	69524005	69524506	501	*	6	6.03	5.96	0.07	0.744	0.854	95181
chr18	9808650	9809151	501	*	4.88	4.95	4.79	0.16	0.744	0.854	95183
chr2	232325619	232326120	501	*	4.93	4.99	4.84	0.16	0.744	0.854	95184
chr18	491170	491671	501	*	5.95	5.99	5.91	0.07	0.744	0.854	95185
chr1	8459915	8460416	501	*	4.67	4.62	4.73	-0.12	0.744	0.854	95189
chr15	63479402	63479903	501	*	4.35	4.41	4.29	0.12	0.744	0.854	95193
chr1	27102660	27103161	501	*	5.05	5.01	5.1	-0.09	0.744	0.854	95203
chr5	68256870	68257371	501	*	4.96	5.01	4.89	0.11	0.744	0.854	95204
chr1	28511931	28512432	501	*	4.4	4.45	4.33	0.12	0.744	0.854	95207
chr2	206982134	206982635	501	*	5.48	5.52	5.43	0.09	0.744	0.854	95210
chr1	24187197	24187698	501	*	6.97	7.01	6.92	0.09	0.744	0.854	95211
chr4	38317513	38318014	501	*	4.44	4.4	4.5	-0.11	0.744	0.854	95224
chr19	49672090	49672591	501	*	6.18	6.22	6.12	0.11	0.744	0.854	95225
chr8	107495973	107496474	501	*	4.64	4.59	4.71	-0.12	0.745	0.854	95237
chr11	134050537	134051038	501	*	5.47	5.53	5.4	0.12	0.745	0.854	95243
chr10	125036132	125036633	501	*	5.01	4.96	5.08	-0.12	0.745	0.854	95248
chr14	101235122	101235623	501	*	4.53	4.6	4.43	0.17	0.745	0.855	95258
chr5	119953078	119953579	501	*	5	5.04	4.93	0.11	0.745	0.855	95262
chrX	19893170	19893671	501	*	4.66	4.59	4.74	-0.15	0.745	0.855	95264
chr1	164789543	164790044	501	*	4.68	4.73	4.62	0.11	0.746	0.855	95283
chr2	218068967	218069468	501	*	5.51	5.46	5.56	-0.11	0.746	0.855	95288
chr11	114262403	114262904	501	*	5.06	5.01	5.12	-0.11	0.746	0.855	95294
chr7	150781718	150782219	501	*	5.38	5.33	5.44	-0.11	0.746	0.855	95297
chr3	15632149	15632650	501	*	6.18	6.21	6.14	0.07	0.746	0.855	95298
chr8	42171708	42172209	501	*	5.4	5.37	5.44	-0.07	0.746	0.855	95302
chr2	171568317	171568818	501	*	4.34	4.28	4.41	-0.13	0.746	0.855	95308
chr22	36123546	36124047	501	*	7.46	7.48	7.42	0.06	0.746	0.855	95310
chr20	45771359	45771860	501	*	5.4	5.44	5.35	0.09	0.746	0.855	95313
chr10	7233780	7234281	501	*	6.46	6.41	6.51	-0.1	0.746	0.855	95314
chr10	103599003	103599504	501	*	4.58	4.64	4.51	0.14	0.746	0.855	95315
chr12	1591534	1592035	501	*	5.83	5.86	5.79	0.07	0.746	0.855	95318
chr17	67629698	67630199	501	*	4.82	4.77	4.87	-0.09	0.746	0.855	95320
chr3	59575066	59575567	501	*	5.51	5.55	5.45	0.1	0.746	0.855	95321
chr9	89999501	90000002	501	*	7.5	7.53	7.47	0.06	0.747	0.856	95326
chr8	122683353	122683854	501	*	4.7	4.76	4.63	0.13	0.747	0.856	95328
chr4	184168577	184169078	501	*	4.44	4.51	4.34	0.17	0.747	0.856	95336
chr11	102006967	102007468	501	*	5.12	5.06	5.19	-0.14	0.747	0.856	95339
chr3	183768741	183769242	501	*	7.15	7.12	7.19	-0.07	0.747	0.856	95345
chr2	240440538	240441039	501	*	3.14	3.26	2.99	0.27	0.747	0.856	95353
chr2	237583582	237584083	501	*	5.06	5.11	4.99	0.11	0.747	0.856	95356
chr4	13549085	13549586	501	*	5.02	4.98	5.06	-0.08	0.747	0.856	95363
chr8	17898447	17898948	501	*	4.99	5.04	4.92	0.12	0.747	0.856	95365
chr8	30557384	30557885	501	*	4.86	4.91	4.8	0.12	0.747	0.856	95370
chr13	41054580	41055081	501	*	5.49	5.45	5.53	-0.09	0.748	0.856	95383
chr12	94586723	94587224	501	*	5.99	5.95	6.04	-0.09	0.748	0.856	95386
chr8	123770005	123770506	501	*	4.18	4.13	4.24	-0.11	0.748	0.856	95395
chr19	30630387	30630888	501	*	4.68	4.71	4.63	0.08	0.748	0.856	95396
chr17	56125870	56126371	501	*	5.09	5.05	5.15	-0.09	0.748	0.856	95400
chr5	137735486	137735987	501	*	5.81	5.85	5.75	0.1	0.748	0.856	95402
chr3	157076485	157076986	501	*	5.22	5.26	5.18	0.08	0.748	0.856	95403
chr12	6341494	6341995	501	*	8.35	8.37	8.32	0.05	0.748	0.856	95404
chr6	27078679	27079180	501	*	5.54	5.51	5.58	-0.07	0.748	0.856	95408
chr4	89002132	89002633	501	*	4.75	4.79	4.7	0.09	0.748	0.856	95410
chr5	131270797	131271298	501	*	4.3	4.22	4.39	-0.17	0.748	0.856	95415
chr5	71649916	71650417	501	*	5.64	5.59	5.7	-0.11	0.748	0.856	95416
chr12	12082070	12082571	501	*	5.27	5.32	5.21	0.11	0.748	0.857	95437
chr12	30851208	30851709	501	*	6.1	6.14	6.05	0.08	0.748	0.857	95442
chr6	83213107	83213608	501	*	3.74	3.65	3.85	-0.2	0.749	0.857	95449
chr6	12322522	12323023	501	*	4.81	4.88	4.72	0.15	0.749	0.857	95453
chr3	58000386	58000887	501	*	5.12	5.07	5.18	-0.11	0.749	0.857	95455
chr6	158690846	158691347	501	*	4.96	4.91	5.02	-0.11	0.749	0.857	95460
chr5	55525418	55525919	501	*	5.28	5.32	5.24	0.08	0.749	0.857	95467
chr4	87546822	87547323	501	*	4.45	4.4	4.5	-0.1	0.749	0.857	95468
chr3	124995541	124996042	501	*	5.33	5.28	5.38	-0.11	0.749	0.857	95473
chr7	71268725	71269226	501	*	4.4	4.34	4.48	-0.14	0.749	0.857	95476
chr1	7669609	7670110	501	*	5.88	5.93	5.83	0.1	0.749	0.857	95477
chr6	35549641	35550142	501	*	5.36	5.3	5.43	-0.13	0.749	0.857	95480
chr8	101489430	101489931	501	*	4.77	4.82	4.7	0.12	0.749	0.857	95483
chr8	21788294	21788795	501	*	5.84	5.88	5.79	0.09	0.749	0.857	95484
chr10	76318374	76318875	501	*	5.1	5.05	5.17	-0.12	0.749	0.857	95499
chr16	27193161	27193662	501	*	5.13	5.04	5.24	-0.21	0.749	0.857	95501
chr6	10485619	10486120	501	*	4.72	4.76	4.67	0.09	0.75	0.857	95507
chr1	19652064	19652565	501	*	5.15	5.11	5.21	-0.1	0.75	0.857	95508
chr17	75749695	75750196	501	*	5.61	5.65	5.56	0.09	0.75	0.857	95511
chr1	156572183	156572684	501	*	6.12	6.09	6.16	-0.07	0.75	0.857	95513
chr14	51657942	51658443	501	*	4.31	4.37	4.23	0.14	0.75	0.858	95519
chr13	43307845	43308346	501	*	5.94	5.9	6	-0.09	0.75	0.858	95520
chr12	59084761	59085262	501	*	4.8	4.85	4.74	0.1	0.75	0.858	95525
chr7	92621144	92621645	501	*	4.75	4.71	4.8	-0.08	0.75	0.858	95537
chr3	42749365	42749866	501	*	5.03	4.99	5.08	-0.08	0.75	0.858	95544
chr3	113148239	113148740	501	*	5.66	5.62	5.71	-0.09	0.751	0.858	95564
chr8	101544639	101545140	501	*	4.76	4.71	4.81	-0.1	0.751	0.858	95565
chr15	75343717	75344218	501	*	4.85	4.81	4.91	-0.1	0.751	0.858	95573
chr18	50791564	50792065	501	*	4.35	4.43	4.25	0.18	0.751	0.858	95583
chr2	223613144	223613645	501	*	6.12	6.16	6.07	0.08	0.751	0.858	95589
chr13	109809812	109810313	501	*	5.16	5.2	5.12	0.08	0.751	0.858	95596
chr21	45820307	45820808	501	*	4.33	4.28	4.4	-0.11	0.751	0.859	95612
chr8	123683608	123684109	501	*	4.29	4.23	4.37	-0.14	0.752	0.859	95619
chr3	194867360	194867861	501	*	6.25	6.28	6.2	0.08	0.752	0.859	95624
chr6	113649638	113650139	501	*	5.47	5.52	5.41	0.11	0.752	0.859	95626
chr2	229980587	229981088	501	*	6.37	6.4	6.33	0.07	0.752	0.859	95630
chr22	43993899	43994400	501	*	4.66	4.71	4.59	0.12	0.752	0.859	95645
