chr	start	end	width	strand	Conc	Conc_T2E	Conc_NonT2E	Fold	p.value	FDR	peak_ID
chr17	78117500	78118001	501	*	5.94	5.89	6	-0.11	0.696	0.821	92582
chr12	124356657	124357158	501	*	5.43	5.36	5.51	-0.15	0.696	0.821	92586
chr9	124356291	124356792	501	*	4.12	4.32	3.83	0.49	0.696	0.821	92587
chr1	27406131	27406632	501	*	5.26	5.31	5.2	0.11	0.696	0.821	92588
chr6	116250869	116251370	501	*	5.26	5.2	5.33	-0.12	0.696	0.821	92589
chr12	115777846	115778347	501	*	4.92	4.86	4.99	-0.14	0.696	0.821	92593
chr19	770375	770876	501	*	4.54	4.6	4.46	0.14	0.696	0.821	92598
chr11	12544074	12544575	501	*	5.24	5.3	5.17	0.13	0.696	0.821	92599
chr9	81530082	81530583	501	*	4.99	5.05	4.91	0.14	0.696	0.821	92600
chr4	2245310	2245811	501	*	5.19	5.15	5.25	-0.1	0.696	0.821	92602
chr6	3665019	3665520	501	*	6.23	6.18	6.29	-0.11	0.696	0.821	92608
chr14	68273020	68273521	501	*	5.2	5.15	5.26	-0.12	0.696	0.821	92617
chr1	150968785	150969286	501	*	4.93	4.86	5.02	-0.16	0.696	0.821	92623
chr17	27494612	27495113	501	*	6.12	6.08	6.18	-0.1	0.696	0.821	92626
chr14	50343399	50343900	501	*	5.11	5.05	5.17	-0.11	0.696	0.821	92627
chr15	45446488	45446989	501	*	4.69	4.62	4.76	-0.14	0.696	0.821	92628
chr22	40507452	40507953	501	*	4.4	4.47	4.31	0.16	0.696	0.821	92630
chr10	80411172	80411673	501	*	5.06	5	5.12	-0.12	0.697	0.821	92631
chr1	203473761	203474262	501	*	4.8	4.74	4.87	-0.13	0.697	0.821	92632
chr4	102620772	102621273	501	*	4.56	4.49	4.64	-0.15	0.697	0.821	92635
chr11	121584462	121584963	501	*	4.15	4.21	4.06	0.16	0.697	0.821	92636
chr3	66398189	66398690	501	*	4.95	5	4.87	0.13	0.697	0.821	92639
chr17	64300455	64300956	501	*	5.1	5.04	5.17	-0.13	0.697	0.822	92641
chr9	109887784	109888285	501	*	5.35	5.39	5.29	0.1	0.697	0.822	92643
chr16	11557897	11558398	501	*	5.99	6.03	5.93	0.1	0.697	0.822	92645
chr9	70599438	70599939	501	*	4.57	4.64	4.49	0.15	0.697	0.822	92646
chr4	183253492	183253993	501	*	4.94	4.89	5.01	-0.12	0.697	0.822	92647
chr7	100866799	100867300	501	*	7.11	7.08	7.16	-0.08	0.697	0.822	92648
chr7	98420799	98421300	501	*	5.32	5.28	5.38	-0.11	0.697	0.822	92650
chr12	13200734	13201235	501	*	4.71	4.65	4.78	-0.14	0.697	0.822	92651
chr11	104164094	104164595	501	*	4.93	4.86	5.01	-0.15	0.697	0.822	92656
chr15	74653904	74654405	501	*	4.84	4.89	4.77	0.12	0.697	0.822	92657
chr9	94995784	94996285	501	*	6.07	6.02	6.12	-0.1	0.697	0.822	92661
chr15	63497366	63497867	501	*	6.45	6.49	6.41	0.08	0.697	0.822	92663
chr10	97020946	97021447	501	*	4.84	4.78	4.91	-0.13	0.697	0.822	92664
chr2	3405830	3406331	501	*	5.68	5.73	5.63	0.1	0.697	0.822	92669
chr3	139939700	139940201	501	*	4.42	4.32	4.54	-0.21	0.697	0.822	92672
chr21	41928017	41928518	501	*	4.8	4.86	4.72	0.14	0.697	0.822	92682
chr4	153568078	153568579	501	*	4.31	4.25	4.39	-0.15	0.697	0.822	92686
chr15	69588078	69588579	501	*	6.01	5.96	6.07	-0.12	0.697	0.822	92687
chr20	25393971	25394472	501	*	5	5.05	4.93	0.12	0.697	0.822	92689
chr4	41657795	41658296	501	*	5.74	5.69	5.79	-0.1	0.698	0.822	92690
chr18	2998610	2999111	501	*	5.64	5.59	5.7	-0.12	0.698	0.822	92691
chr2	174614435	174614936	501	*	4.48	4.42	4.56	-0.14	0.698	0.822	92694
chr14	29744142	29744643	501	*	5.24	5.18	5.32	-0.14	0.698	0.822	92697
chr6	31078456	31078957	501	*	4.35	4.43	4.25	0.18	0.698	0.822	92698
chr14	75470428	75470929	501	*	5.19	5.14	5.25	-0.11	0.698	0.822	92699
chr20	25007400	25007901	501	*	4.74	4.68	4.82	-0.14	0.698	0.822	92701
chr22	27888654	27889155	501	*	4.86	4.91	4.8	0.12	0.698	0.822	92702
chr6	168166563	168167064	501	*	4.55	4.48	4.64	-0.16	0.698	0.822	92704
chr22	43412792	43413293	501	*	4.34	4.42	4.22	0.2	0.698	0.822	92705
chr3	177539276	177539777	501	*	6.13	6.17	6.08	0.09	0.698	0.822	92710
chr5	149001944	149002445	501	*	4.6	4.53	4.68	-0.15	0.698	0.822	92711
chr8	28411721	28412222	501	*	7.43	7.39	7.47	-0.08	0.698	0.822	92713
chr3	161419530	161420031	501	*	5.6	5.54	5.67	-0.13	0.698	0.822	92716
chr20	53915420	53915921	501	*	7.4	7.43	7.36	0.07	0.698	0.822	92717
chr2	25939201	25939702	501	*	4.42	4.37	4.49	-0.12	0.698	0.823	92722
chr4	78963230	78963731	501	*	4.01	3.9	4.14	-0.23	0.698	0.823	92723
chr22	29043619	29044120	501	*	4.46	4.54	4.36	0.18	0.698	0.823	92731
chr12	55732231	55732732	501	*	4.63	4.57	4.69	-0.12	0.698	0.823	92732
chr9	121059497	121059998	501	*	4.33	4.26	4.42	-0.16	0.698	0.823	92734
chr10	74164796	74165297	501	*	4.67	4.73	4.6	0.14	0.698	0.823	92735
chr9	14180564	14181065	501	*	6.71	6.67	6.76	-0.09	0.698	0.823	92736
chr2	37827800	37828301	501	*	5.39	5.44	5.33	0.11	0.698	0.823	92741
chr14	88551270	88551771	501	*	7.14	7.19	7.08	0.11	0.698	0.823	92744
chr12	49345631	49346132	501	*	6.4	6.46	6.33	0.13	0.698	0.823	92746
chr7	108455736	108456237	501	*	6.24	6.19	6.31	-0.12	0.698	0.823	92748
chr6	44108224	44108725	501	*	4.25	4.18	4.33	-0.15	0.698	0.823	92750
chr12	26017439	26017940	501	*	5.1	5.04	5.17	-0.12	0.698	0.823	92752
chr5	60700120	60700621	501	*	7.48	7.52	7.44	0.08	0.699	0.823	92753
chr1	20616337	20616838	501	*	4.53	4.48	4.6	-0.12	0.699	0.823	92756
chr11	2708250	2708751	501	*	4.61	4.67	4.54	0.14	0.699	0.823	92757
chr20	23622791	23623292	501	*	5.21	5.26	5.13	0.13	0.699	0.823	92759
chr2	220200138	220200639	501	*	5.02	4.95	5.09	-0.14	0.699	0.823	92761
chrX	13763596	13764097	501	*	5.35	5.3	5.41	-0.11	0.699	0.823	92762
chr7	98021691	98022192	501	*	4.98	4.92	5.04	-0.12	0.699	0.823	92768
chr4	6321691	6322192	501	*	4.42	4.36	4.48	-0.12	0.699	0.823	92774
chr1	28884593	28885094	501	*	5.42	5.47	5.36	0.11	0.699	0.823	92776
chr6	34423509	34424010	501	*	4.58	4.52	4.65	-0.13	0.699	0.823	92777
chrX	18657604	18658105	501	*	4.25	4.31	4.16	0.15	0.699	0.823	92780
chr16	19859928	19860429	501	*	6.69	6.65	6.75	-0.1	0.699	0.823	92785
chr1	31415019	31415520	501	*	4.59	4.64	4.52	0.13	0.699	0.823	92790
chr10	124983854	124984355	501	*	4.65	4.7	4.58	0.12	0.699	0.823	92795
chr6	168363150	168363651	501	*	4.66	4.71	4.58	0.13	0.699	0.823	92796
chr16	75107513	75108014	501	*	4.96	5.02	4.88	0.14	0.699	0.823	92798
chr1	117752123	117752624	501	*	4.28	4.35	4.19	0.16	0.699	0.823	92800
chr7	131114305	131114806	501	*	4.45	4.38	4.53	-0.14	0.699	0.823	92805
chr14	61229311	61229812	501	*	5.31	5.36	5.25	0.11	0.7	0.823	92809
chr12	6632639	6633140	501	*	4.93	5	4.85	0.16	0.7	0.823	92811
chr9	127900452	127900953	501	*	4.26	4.34	4.15	0.19	0.7	0.823	92812
chr3	177345223	177345724	501	*	7.1	7.14	7.06	0.08	0.7	0.824	92816
chr4	1629142	1629643	501	*	5.13	5.19	5.04	0.15	0.7	0.824	92819
chr7	10911714	10912215	501	*	4.21	4.29	4.11	0.18	0.7	0.824	92820
chr10	122565809	122566310	501	*	4.24	4.17	4.32	-0.15	0.7	0.824	92821
chr9	134327226	134327727	501	*	7.02	6.99	7.06	-0.08	0.7	0.824	92824
chr11	62100012	62100513	501	*	1.08	1.22	0.87	0.34	0.7	0.824	92833
chr11	11409813	11410314	501	*	4.42	4.35	4.5	-0.16	0.7	0.824	92836
chr16	50369074	50369575	501	*	5.67	5.72	5.61	0.11	0.7	0.824	92837
chr1	226651480	226651981	501	*	5.18	5.21	5.12	0.09	0.7	0.824	92840
chr18	78953562	78954063	501	*	5.49	5.55	5.41	0.14	0.7	0.824	92843
chr16	19690246	19690747	501	*	4.55	4.61	4.49	0.12	0.7	0.824	92846
chr1	8015673	8016174	501	*	5.97	5.92	6.03	-0.12	0.7	0.824	92848
chr17	57110959	57111460	501	*	5.03	4.99	5.08	-0.09	0.7	0.824	92849
chr6	43750202	43750703	501	*	4.2	4.3	4.07	0.23	0.7	0.824	92851
chr1	31422380	31422881	501	*	5.53	5.48	5.59	-0.11	0.7	0.824	92855
chr14	69579211	69579712	501	*	4.62	4.69	4.53	0.16	0.7	0.824	92860
chr20	19802270	19802771	501	*	5.07	5.13	4.99	0.13	0.7	0.824	92861
chr10	79175376	79175877	501	*	4.77	4.83	4.69	0.13	0.701	0.824	92865
chr5	116573171	116573672	501	*	7.17	7.2	7.13	0.07	0.701	0.824	92867
chr8	22159900	22160401	501	*	4.55	4.62	4.45	0.17	0.701	0.824	92869
chr19	46760874	46761375	501	*	4.83	4.88	4.75	0.13	0.701	0.824	92871
chr1	150620032	150620533	501	*	5.87	5.91	5.81	0.09	0.701	0.824	92872
chr11	130897270	130897771	501	*	6.59	6.54	6.65	-0.11	0.701	0.824	92876
chr1	219299340	219299841	501	*	5.14	5.18	5.07	0.11	0.701	0.824	92880
chr3	25592450	25592951	501	*	5.42	5.47	5.36	0.11	0.701	0.824	92888
chr12	104358205	104358706	501	*	3.91	3.83	4.01	-0.18	0.701	0.824	92889
chr15	71471015	71471516	501	*	4.49	4.43	4.56	-0.13	0.701	0.824	92890
chr1	22398937	22399438	501	*	4.91	4.98	4.81	0.18	0.701	0.824	92894
chr4	101343067	101343568	501	*	5.86	5.81	5.92	-0.1	0.701	0.824	92896
chr16	72124586	72125087	501	*	4.67	4.73	4.59	0.14	0.701	0.825	92900
chr7	16061840	16062341	501	*	5.21	5.27	5.14	0.13	0.701	0.825	92903
chr2	66688975	66689476	501	*	5.61	5.66	5.54	0.12	0.701	0.825	92905
chr17	61411971	61412472	501	*	7.76	7.79	7.72	0.07	0.701	0.825	92912
chr7	42931893	42932394	501	*	7.14	7.17	7.1	0.07	0.701	0.825	92915
chr6	6915702	6916203	501	*	5.99	5.94	6.04	-0.09	0.701	0.825	92917
chr9	108762155	108762656	501	*	4.68	4.61	4.76	-0.15	0.702	0.825	92923
chr10	118459403	118459904	501	*	5.65	5.68	5.6	0.08	0.702	0.825	92925
chr1	59750803	59751304	501	*	4.85	4.78	4.92	-0.14	0.702	0.825	92926
chr7	73436190	73436691	501	*	4.87	4.94	4.77	0.17	0.702	0.825	92927
chr6	53441903	53442404	501	*	4.48	4.39	4.58	-0.18	0.702	0.825	92931
chr6	168157318	168157819	501	*	6.81	6.85	6.76	0.09	0.702	0.825	92934
chr2	101815698	101816199	501	*	4.76	4.7	4.83	-0.13	0.702	0.825	92935
chr16	73040066	73040567	501	*	5.54	5.6	5.48	0.12	0.702	0.825	92943
chr5	16813631	16814132	501	*	5	4.93	5.08	-0.15	0.702	0.825	92946
chr1	109783278	109783779	501	*	5.88	5.92	5.82	0.1	0.702	0.825	92949
chr5	151500474	151500975	501	*	4.94	4.99	4.88	0.11	0.702	0.825	92951
chr5	95880400	95880901	501	*	4.77	4.7	4.85	-0.15	0.702	0.825	92953
chr21	42097733	42098234	501	*	5.56	5.51	5.63	-0.12	0.702	0.825	92954
chr18	55228065	55228566	501	*	4.39	4.46	4.29	0.17	0.702	0.825	92955
chr9	104863426	104863927	501	*	5.05	5.11	4.98	0.13	0.702	0.825	92960
chr12	50725480	50725981	501	*	5.44	5.38	5.52	-0.14	0.702	0.825	92961
chr2	101190916	101191417	501	*	4.11	4.19	4	0.2	0.702	0.825	92970
chr14	20416007	20416508	501	*	4.71	4.64	4.79	-0.14	0.702	0.825	92974
chr10	60816980	60817863	883	*	5.28	5.33	5.22	0.11	0.702	0.825	92981
chr11	10322694	10323195	501	*	5.99	5.95	6.05	-0.1	0.703	0.825	92988
chr15	95558034	95558535	501	*	4.44	4.37	4.51	-0.14	0.703	0.825	92989
chr7	7424471	7424972	501	*	5.3	5.35	5.24	0.11	0.703	0.825	92990
chr2	227762612	227763113	501	*	5.51	5.55	5.45	0.1	0.703	0.825	92991
chr2	109499519	109500020	501	*	6.59	6.63	6.53	0.1	0.703	0.826	92992
chr14	77066231	77066732	501	*	4.37	4.43	4.29	0.15	0.703	0.826	92993
chr1	39405223	39405724	501	*	4.53	4.48	4.6	-0.12	0.703	0.826	92996
chr22	29623134	29623635	501	*	4.57	4.65	4.47	0.18	0.703	0.826	93001
chr16	29820672	29821173	501	*	7.3	7.33	7.25	0.08	0.703	0.826	93003
chr1	184473324	184473825	501	*	4.2	4.1	4.31	-0.22	0.703	0.826	93011
chr8	19598840	19599341	501	*	6.11	6.01	6.22	-0.21	0.703	0.826	93012
chr6	6724680	6725181	501	*	7.24	7.27	7.2	0.08	0.703	0.826	93015
chr9	94992563	94993064	501	*	5.08	5.13	5.01	0.12	0.703	0.826	93016
chr2	207161399	207161900	501	*	5.19	5.23	5.14	0.09	0.703	0.826	93017
chr7	35537189	35537690	501	*	5.35	5.42	5.26	0.15	0.703	0.826	93020
chr1	232950471	232950972	501	*	7.52	7.55	7.48	0.07	0.703	0.826	93021
chr1	178037768	178038269	501	*	6.71	6.67	6.76	-0.09	0.703	0.826	93022
chr11	63762733	63763234	501	*	5.65	5.71	5.57	0.14	0.703	0.826	93031
chr12	57452665	57453166	501	*	5.45	5.51	5.38	0.12	0.703	0.826	93033
chr11	63478907	63479408	501	*	4.36	4.42	4.29	0.13	0.704	0.826	93035
chr8	98451441	98451942	501	*	4.06	4.14	3.95	0.19	0.704	0.826	93039
chr12	13196667	13197168	501	*	7.08	7.11	7.03	0.08	0.704	0.826	93040
chr1	181424628	181425129	501	*	4.61	4.56	4.67	-0.11	0.704	0.826	93043
chr3	48932538	48933039	501	*	4.53	4.48	4.6	-0.12	0.704	0.826	93045
chr12	115795103	115795604	501	*	4.78	4.71	4.85	-0.13	0.704	0.826	93051
chr10	3256536	3257037	501	*	4.56	4.62	4.49	0.13	0.704	0.826	93053
chr6	144415756	144416257	501	*	5.53	5.48	5.59	-0.1	0.704	0.826	93054
chr19	7804582	7805083	501	*	5.57	5.52	5.64	-0.12	0.704	0.826	93059
chr6	27815002	27815503	501	*	6.72	6.67	6.77	-0.11	0.704	0.826	93063
chr15	90617310	90617811	501	*	5.39	5.43	5.35	0.08	0.704	0.827	93065
chr16	25689368	25689869	501	*	4.56	4.63	4.47	0.16	0.704	0.827	93074
chr11	17236695	17237649	954	*	5.45	5.5	5.39	0.1	0.704	0.827	93075
chr4	76532036	76532537	501	*	4.17	4.1	4.26	-0.16	0.704	0.827	93076
chr18	58946887	58947388	501	*	6.13	6.09	6.19	-0.11	0.704	0.827	93080
chr12	93738133	93738634	501	*	6.51	6.48	6.56	-0.08	0.704	0.827	93081
chr2	27960271	27960772	501	*	5.06	5.1	5	0.1	0.704	0.827	93083
chr2	43400694	43401195	501	*	5.09	5.14	5.02	0.12	0.705	0.827	93090
chr9	132259242	132259743	501	*	4.89	4.96	4.81	0.15	0.705	0.827	93094
chr8	6678899	6679400	501	*	4.7	4.77	4.61	0.15	0.705	0.827	93100
chr20	53625500	53626001	501	*	5.21	5.16	5.28	-0.13	0.705	0.827	93104
chr8	19610294	19610795	501	*	4.91	4.86	4.98	-0.11	0.705	0.827	93106
chr9	95128521	95129022	501	*	4.46	4.4	4.54	-0.14	0.705	0.827	93110
chr10	3199267	3199768	501	*	4.51	4.57	4.43	0.13	0.705	0.827	93112
chr11	57657109	57657610	501	*	7	7.04	6.96	0.08	0.705	0.827	93115
chr16	12263086	12263587	501	*	4.21	4.14	4.29	-0.14	0.705	0.827	93118
chr22	24181412	24181913	501	*	5.31	5.36	5.23	0.14	0.705	0.827	93119
chr10	7265344	7265845	501	*	5.87	5.94	5.78	0.15	0.705	0.827	93128
chr19	39327787	39328288	501	*	4.65	4.6	4.71	-0.12	0.705	0.827	93129
chr22	40182293	40182794	501	*	4.69	4.64	4.75	-0.11	0.705	0.827	93131
chr20	20701360	20701861	501	*	4.76	4.81	4.68	0.13	0.706	0.828	93141
chr10	792076	792577	501	*	4.42	4.35	4.51	-0.16	0.706	0.828	93144
chr1	156614297	156614798	501	*	4.46	4.4	4.53	-0.13	0.706	0.828	93150
chr17	39738355	39738856	501	*	7.38	7.42	7.33	0.09	0.706	0.828	93153
chr1	85328515	85329506	991	*	5.45	5.51	5.38	0.14	0.706	0.828	93154
chr21	42431030	42431531	501	*	4.92	4.97	4.85	0.12	0.706	0.828	93158
chr11	43649631	43650132	501	*	5.44	5.4	5.49	-0.1	0.706	0.828	93160
chr10	6141378	6141879	501	*	5.98	6.03	5.91	0.12	0.706	0.828	93163
chr3	172615043	172615544	501	*	5.64	5.7	5.58	0.12	0.706	0.828	93164
chr2	27096171	27096672	501	*	5.05	4.99	5.12	-0.13	0.706	0.828	93167
chr2	237590464	237590965	501	*	6.97	7	6.93	0.07	0.706	0.828	93168
chr5	72507714	72508215	501	*	4.89	4.94	4.82	0.12	0.706	0.828	93172
chr2	157787629	157788130	501	*	4.62	4.55	4.7	-0.14	0.706	0.828	93174
chr3	161409913	161410414	501	*	5.65	5.69	5.59	0.1	0.706	0.828	93175
chr14	89425037	89425538	501	*	4.33	4.38	4.26	0.12	0.706	0.828	93176
chr2	222905904	222906405	501	*	4.96	5	4.91	0.09	0.706	0.828	93177
chr10	69239409	69239910	501	*	4.94	4.99	4.87	0.12	0.706	0.828	93178
chr1	32208979	32209480	501	*	4.81	4.75	4.87	-0.12	0.706	0.828	93179
chr16	30409163	30409664	501	*	5.34	5.29	5.39	-0.1	0.706	0.828	93184
chr7	43834406	43834907	501	*	4.23	4.31	4.12	0.19	0.706	0.828	93187
chr10	73643914	73644415	501	*	4.77	4.71	4.84	-0.13	0.707	0.828	93192
chr11	61152845	61153346	501	*	5.95	5.99	5.9	0.09	0.707	0.828	93193
chr7	42831956	42832457	501	*	5.63	5.68	5.57	0.1	0.707	0.828	93197
chr19	15614308	15614809	501	*	4.3	4.36	4.22	0.14	0.707	0.828	93199
chr10	71347645	71348146	501	*	5.38	5.43	5.33	0.1	0.707	0.828	93200
chr2	176104759	176105260	501	*	5.01	5.09	4.91	0.18	0.707	0.828	93201
chr8	98369717	98370218	501	*	4.81	4.88	4.71	0.17	0.707	0.829	93204
chr1	204377730	204378231	501	*	7.28	7.25	7.32	-0.07	0.707	0.829	93206
chr11	27159569	27160070	501	*	4.5	4.4	4.61	-0.21	0.707	0.829	93215
chr20	34544358	34544859	501	*	4.56	4.5	4.63	-0.13	0.707	0.829	93217
chr7	148966599	148967100	501	*	5.15	5.11	5.21	-0.1	0.707	0.829	93218
chr16	10918349	10918850	501	*	5.98	5.95	6.03	-0.09	0.707	0.829	93219
chr3	107941280	107941781	501	*	4.34	4.24	4.46	-0.21	0.707	0.829	93221
chr8	38526647	38527148	501	*	4.46	4.52	4.38	0.15	0.707	0.829	93222
chr3	66409685	66410186	501	*	5.26	5.19	5.34	-0.14	0.707	0.829	93226
chr1	37690659	37691160	501	*	5.04	4.99	5.09	-0.11	0.707	0.829	93229
chr3	137014016	137014517	501	*	6.34	6.3	6.39	-0.09	0.707	0.829	93230
chr14	34226490	34226991	501	*	4.88	4.95	4.78	0.16	0.708	0.829	93248
chr5	59790489	59790990	501	*	5.86	5.81	5.91	-0.1	0.708	0.829	93249
chr14	61474878	61475379	501	*	4.87	4.8	4.94	-0.14	0.708	0.829	93251
chr7	131048701	131049202	501	*	5.34	5.31	5.39	-0.09	0.708	0.829	93253
chr22	42780181	42780682	501	*	4.81	4.76	4.88	-0.12	0.708	0.829	93255
chrX	13376193	13376694	501	*	4.49	4.55	4.41	0.14	0.708	0.829	93257
chr4	185820318	185820819	501	*	7.07	7.03	7.11	-0.08	0.708	0.829	93263
chr1	208057309	208057810	501	*	4.07	3.95	4.2	-0.25	0.708	0.829	93264
chr6	75208603	75209104	501	*	5.44	5.49	5.38	0.11	0.708	0.829	93268
chrX	110175185	110175686	501	*	4.69	4.74	4.64	0.1	0.708	0.829	93271
chr20	64058067	64058568	501	*	6.06	6.1	5.99	0.11	0.708	0.83	93272
chr3	149542144	149542645	501	*	6.47	6.42	6.53	-0.1	0.708	0.83	93273
chr15	92816333	92816834	501	*	4.49	4.54	4.41	0.13	0.708	0.83	93283
chr9	132164094	132165089	995	*	6.17	6.12	6.22	-0.09	0.708	0.83	93285
chr5	32225165	32225666	501	*	6.13	6.17	6.07	0.1	0.709	0.83	93289
chr6	21928488	21928989	501	*	4.9	4.95	4.84	0.11	0.709	0.83	93293
chr16	84947090	84947591	501	*	6.5	6.46	6.55	-0.09	0.709	0.83	93295
chr16	57299836	57300337	501	*	6.34	6.38	6.3	0.07	0.709	0.83	93300
chr10	13659337	13659838	501	*	4.91	4.98	4.82	0.17	0.709	0.83	93305
chr9	17520064	17520565	501	*	4.9	4.85	4.97	-0.12	0.709	0.83	93309
chr13	95293682	95294183	501	*	4.48	4.42	4.56	-0.14	0.709	0.83	93310
chr8	42331013	42331514	501	*	5.29	5.24	5.35	-0.11	0.709	0.83	93311
chr5	81505798	81506299	501	*	4.44	4.5	4.38	0.12	0.709	0.83	93316
chr17	55739094	55739595	501	*	4.36	4.43	4.28	0.15	0.709	0.83	93317
chr21	33644497	33644998	501	*	4.39	4.31	4.48	-0.17	0.709	0.83	93322
chr13	23467028	23467529	501	*	5.66	5.62	5.72	-0.1	0.709	0.83	93329
chr1	93580813	93581314	501	*	4.26	4.34	4.16	0.17	0.71	0.83	93331
chrX	11384046	11384547	501	*	4.38	4.3	4.48	-0.17	0.71	0.83	93333
chr10	78222207	78222708	501	*	3.99	4.07	3.89	0.17	0.71	0.831	93340
chr5	180597401	180597902	501	*	4.95	5	4.89	0.11	0.71	0.831	93348
chr2	20440428	20440929	501	*	5.47	5.42	5.54	-0.12	0.71	0.831	93355
chr16	79605893	79606394	501	*	4.59	4.54	4.64	-0.11	0.71	0.831	93360
chr3	183772166	183772667	501	*	6.74	6.7	6.78	-0.08	0.71	0.831	93361
chr2	102037163	102037664	501	*	5.79	5.83	5.73	0.1	0.71	0.831	93366
chr8	63007841	63008342	501	*	4.32	4.41	4.2	0.21	0.71	0.831	93367
chr1	25573154	25573655	501	*	5.5	5.44	5.57	-0.14	0.71	0.831	93369
chr6	126182359	126182860	501	*	4.97	4.91	5.03	-0.12	0.71	0.831	93370
chr16	10961419	10961920	501	*	4.8	4.86	4.73	0.12	0.71	0.831	93372
chr1	116580655	116581156	501	*	4.75	4.68	4.83	-0.15	0.71	0.831	93375
chr5	34508687	34509188	501	*	5.28	5.23	5.35	-0.11	0.71	0.831	93376
chr17	1640228	1640729	501	*	4.96	5.02	4.87	0.16	0.71	0.831	93379
chr5	74635707	74636208	501	*	4.9	4.83	4.98	-0.14	0.71	0.831	93381
chr8	22565155	22565656	501	*	7.66	7.7	7.61	0.09	0.71	0.831	93382
chr14	100372618	100373119	501	*	4.73	4.79	4.65	0.14	0.71	0.831	93384
chr20	4720166	4720667	501	*	5.01	4.96	5.08	-0.12	0.71	0.831	93386
chr16	89334238	89334739	501	*	5.35	5.41	5.28	0.13	0.711	0.831	93387
chr5	80269338	80269839	501	*	5.35	5.28	5.43	-0.15	0.711	0.831	93389
chr19	56066544	56067045	501	*	5.83	5.88	5.77	0.11	0.711	0.831	93390
chr11	35821872	35822373	501	*	5.87	5.82	5.93	-0.1	0.711	0.831	93392
chr1	203338561	203339062	501	*	4.52	4.46	4.59	-0.14	0.711	0.831	93394
chr8	81002236	81002737	501	*	4.38	4.3	4.47	-0.17	0.711	0.831	93395
chr1	239884308	239884809	501	*	5.27	5.32	5.22	0.1	0.711	0.831	93406
chr20	63973869	63974370	501	*	6.07	6.11	6.01	0.1	0.711	0.831	93408
chr17	19446680	19447181	501	*	4.87	4.92	4.81	0.1	0.711	0.831	93410
chr2	222842818	222843319	501	*	6.36	6.4	6.31	0.09	0.711	0.831	93412
chr4	6728679	6729180	501	*	6.1	6.14	6.05	0.09	0.711	0.831	93415
chr14	103527935	103528436	501	*	7.11	7.07	7.16	-0.1	0.711	0.831	93424
chr2	11570696	11571197	501	*	5.53	5.58	5.48	0.1	0.711	0.831	93427
chr16	14308559	14309060	501	*	5.2	5.15	5.27	-0.12	0.711	0.831	93431
chr7	20107338	20107839	501	*	5.01	4.85	5.18	-0.33	0.711	0.831	93433
chr5	160357686	160358187	501	*	4.67	4.72	4.6	0.12	0.711	0.831	93434
chr4	139663312	139663813	501	*	5.25	5.2	5.31	-0.11	0.711	0.831	93435
chr2	18520027	18520528	501	*	4.72	4.78	4.64	0.14	0.711	0.832	93444
chr9	35522145	35522646	501	*	4.39	4.45	4.33	0.12	0.711	0.832	93449
chr8	23702869	23703370	501	*	4.2	4.13	4.29	-0.16	0.711	0.832	93451
chr6	41577854	41578355	501	*	6.66	6.69	6.62	0.07	0.711	0.832	93452
chr11	86997239	86997740	501	*	4.39	4.44	4.32	0.12	0.711	0.832	93453
chr8	8386088	8386589	501	*	7.04	7.09	6.98	0.11	0.711	0.832	93454
chr2	66694440	66694941	501	*	4.55	4.6	4.49	0.11	0.712	0.832	93456
chr21	42505140	42505641	501	*	4.31	4.37	4.22	0.15	0.712	0.832	93459
chr12	3821843	3822344	501	*	4.57	4.49	4.65	-0.16	0.712	0.832	93461
chrX	19337005	19337506	501	*	4.9	4.82	5	-0.17	0.712	0.832	93463
chr5	149134037	149134538	501	*	4.32	4.24	4.42	-0.17	0.712	0.832	93464
chr13	42883636	42884137	501	*	4.2	4.1	4.32	-0.21	0.712	0.832	93466
chr2	191020492	191020993	501	*	7.04	7.07	7	0.07	0.712	0.832	93470
chr11	69274418	69274919	501	*	5.79	5.75	5.84	-0.09	0.712	0.832	93471
chr14	103573562	103574063	501	*	4.13	4.2	4.05	0.16	0.712	0.832	93473
chr12	49234584	49235085	501	*	6.94	6.91	6.98	-0.07	0.712	0.832	93477
chr3	177351412	177351913	501	*	5	4.93	5.09	-0.15	0.712	0.832	93478
chr9	136804904	136805405	501	*	5.87	5.82	5.94	-0.12	0.712	0.832	93479
chr10	28684819	28685320	501	*	5.16	5.2	5.09	0.11	0.712	0.832	93484
chr7	151780531	151781032	501	*	5.59	5.53	5.66	-0.13	0.712	0.832	93485
chr12	53425325	53425826	501	*	4.93	4.87	4.99	-0.12	0.712	0.832	93486
chr1	203268727	203269228	501	*	6.4	6.43	6.36	0.08	0.712	0.832	93488
chr19	30692347	30692848	501	*	5.22	5.26	5.16	0.09	0.712	0.832	93490
chr18	26767863	26768364	501	*	4.41	4.31	4.51	-0.2	0.712	0.833	93496
chr16	2498639	2499140	501	*	5.42	5.36	5.48	-0.12	0.713	0.833	93501
chr2	181899437	181900427	990	*	5.53	5.58	5.48	0.1	0.713	0.833	93512
chr2	216682651	216683152	501	*	4.56	4.61	4.48	0.14	0.713	0.833	93514
chr1	8670303	8670804	501	*	4.8	4.85	4.73	0.12	0.713	0.833	93520
chr19	47271841	47272342	501	*	4.47	4.54	4.39	0.15	0.713	0.833	93521
